name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
김명래,2025-12-21,50,3,9,5,5 주회,BS,주의
김명섭,2023-08-26,34,2,8,2,5 주회,2코너,주의
김명중,2025-07-27,30,3,1,3,5 주회,2코너,주의
김문용,2023-12-23,50,2,1,5,5 주회,BS,주의
김문용,2025-06-20,25,1,1,1,5 주회,BS,주의
김민균,2022-09-17,37,2,15,2,5 주회,BS,주의
김민균,2024-11-30,47,2,13,2,5 주회,BS,주의
김민배,2022-02-12,6,2,11,1,5 주회,1코너,경고
김민수,2022-11-20,46,3,10,1,5 주회,1코너,주의
김민수,2022-12-25,51,3,1,1,5 주회,3코너,주의
김민욱,2023-02-11,6,2,2,2,5 주회,3코너,주의
김민욱,2023-08-05,31,2,2,4,5 주회,BS,주의
김민준,2022-07-09,27,2,14,2,4 주회,HS,경고
김민준,2023-08-13,32,3,13,6,5 주회,BS,주의
김민준,2023-11-05,43,3,14,1,5 주회,1코너,주의
김민준,2024-10-03,39,1,13,1,4 주회,HS,주의
김민준,2025-11-29,47,2,16,7,5 주회,BS,주의
김민철,2022-12-30,52,1,14,6,5 주회,3코너,주의
김민철,2023-03-17,11,1,15,2,5 주회,BS,주의
김민철,2026-03-15,11,3,10,3,4 주회,3코너,주의
김민호,2022-12-03,48,2,12,7,5 주회,BS,주의
김배영,2022-09-16,37,1,10,1,4 주회,HS,경고
김배영,2022-11-12,45,2,8,2,5 주회,3코너,주의
김배영,2025-09-21,38,3,13,5,5 주회,BS,주의
김범수,2025-11-30,47,3,16,2,5 주회,BS,주의
김범준,2022-02-26,8,2,6,5,5 주회,3코너,주의
김범준,2022-04-23,16,2,10,1,5 주회,BS,주의
김범중,2022-07-09,27,2,1,1,5 주회,1코너,경고
김범중,2023-01-08,1,3,1,3,5 주회,BS,주의
김범중,2023-03-04,9,2,5,2,5 주회,4코너,경고
김범중,2024-08-02,30,1,10,5,4 주회,4코너,주의
김상근,2022-03-13,10,3,7,1,5 주회,BS,주의
김상근,2022-10-16,41,3,6,6,5 주회,BS,주의
김상근,2024-09-28,38,2,3,2,5 주회,1코너,주의
김상인,2022-09-04,35,3,5,2,4 주회,HS,주의
김상인,2022-12-30,52,1,4,6,5 주회,3코너,주의
김상인,2023-08-04,31,1,1,4,4 주회,HS,주의
김상인,2024-11-24,46,3,3,2,5 주회,BS,주의
김상인,2024-12-15,49,3,3,3,3 주회,HS,주의
김상인,2025-02-09,6,3,9,6,5 주회,결승선전,경고
김석호,2022-11-11,45,1,7,2,5 주회,BS,주의
김석호,2026-02-01,5,3,4,6,5 주회,3코너,주의
김선구,2024-11-03,43,3,10,3,5 주회,2코너,경고
김성근,2022-07-29,30,1,6,2,5 주회,1코너,주의
김성근,2023-09-10,36,3,4,6,5 주회,1코너,경고
김성근,2024-09-22,37,3,4,3,5 주회,3코너,주의
김성용,2022-10-15,41,2,4,1,5 주회,BS,주의
김성용,2023-01-29,4,3,3,2,5 주회,BS,주의
김성용,2023-03-24,12,1,1,1,5 주회,BS,주의
김성용,2023-04-14,15,1,4,1,5 주회,BS,주의
김성용,2023-06-16,24,1,4,7,5 주회,BS,주의
김성용,2024-01-12,2,1,3,5,5 주회,BS,주의
김성용,2024-01-27,4,2,3,1,5 주회,결승선전,주의
김성용,2025-01-19,3,3,1,2,5 주회,BS,주의
김성용,2025-06-21,25,2,5,1,5 주회,결승선전,실격
김성현,2022-07-22,29,1,8,1,5 주회,BS,주의
김성현,2025-10-12,40,3,8,6,5 주회,BS,주의
김성호,2022-10-03,39,4,1,2,5 주회,결승선전,주의
