name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
손용호,2024-02-03,5,2,3,4,3 주회,HS,주의
손용호,2024-05-04,17,2,1,4,3 주회,HS,주의
손재우,2022-10-30,43,3,13,6,5 주회,BS,주의
손재우,2025-09-27,39,2,8,1,5 주회,BS,주의
손재우,2025-12-21,50,3,8,1,3 주회,2코너,주의
손재우,2025-12-26,51,1,2,2,5 주회,BS,주의
손주영,2022-04-10,14,3,5,6,5 주회,1코너,주의
손주영,2023-03-17,11,1,8,2,5 주회,BS,주의
손주영,2023-05-12,19,1,3,4,5 주회,1코너,경고
손주영,2025-08-02,31,2,9,1,5 주회,BS,주의
손진철,2024-01-21,3,3,9,4,3 주회,HS,주의
손진철,2024-08-09,31,1,6,5,5 주회,결승선전,주의
송경방,2022-05-13,19,1,9,2,5 주회,3코너,주의
송경방,2024-01-07,1,3,11,1,5 주회,BS,주의
송경방,2024-09-14,36,2,12,1,5 주회,BS,주의
송경방,2025-11-02,43,3,1,1,5 주회,1코너,주의
송대호,2022-10-08,40,2,11,6,5 주회,3코너,주의
송대호,2023-08-06,31,3,2,1,5 주회,1코너,주의
송대호,2025-08-29,35,1,11,1,5 주회,BS,주의
송승현,2023-10-29,42,3,10,4,3 주회,HS,주의
송영진,2022-11-18,46,1,5,3,5 주회,3코너,주의
송영진,2023-07-21,29,1,4,5,5 주회,결승선전,주의
송영진,2024-12-15,49,3,1,7,5 주회,BS,주의
송영진,2025-05-09,19,1,2,2,5 주회,BS,주의
송영진,2025-08-09,32,2,5,7,5 주회,BS,주의
송영진,2025-08-10,32,3,4,5,5 주회,BS,경고
송영진,2026-02-06,6,1,5,3,5 주회,BS,주의
송정욱,2025-11-16,45,3,11,1,5 주회,2코너,주의
신동현,2022-09-18,37,3,11,1,4 주회,HS,경고
신동현,2023-07-14,28,1,15,4,5 주회,결승선전,주의
신동현,2023-08-04,31,1,15,3,5 주회,결승선전,주의
신동현,2023-08-19,33,2,15,3,5 주회,BS,주의
신동현,2023-11-18,45,2,13,2,5 주회,HS,주의
신동현,2025-05-17,20,2,12,5,4 주회,HS,주의
신양우,2023-10-28,42,2,2,3,5 주회,3코너,주의
신영극,2022-12-11,49,3,5,6,5 주회,BS,주의
신영극,2024-08-24,33,2,5,6,5 주회,BS,주의
신영극,2024-11-02,43,2,5,2,5 주회,결승선전,경고
신영극,2026-01-30,5,1,5,2,5 주회,결승선전,실격
신용수,2022-11-25,47,1,1,1,5 주회,BS,주의
신은섭,2024-02-25,7,3,16,1,5 주회,결승선전,경고
신은섭,2024-03-22,11,1,16,2,5 주회,3코너,주의
신은섭,2025-09-28,39,3,13,1,4 주회,4코너,주의
신익희,2022-04-03,13,3,4,2,5 주회,2코너,주의
신익희,2023-12-22,50,1,5,4,5 주회,1코너,주의
신익희,2024-08-02,30,1,2,7,4 주회,HS,주의
신익희,2025-02-16,7,3,1,1,3 주회,BS,주의
신익희,2026-02-22,8,3,3,2,5 주회,2코너,주의
신호재,2022-08-19,33,1,4,2,5 주회,2코너,주의
안성민,2023-12-23,50,2,3,4,5 주회,결승선전,경고
안재용,2025-11-09,44,3,11,1,3 주회,BS,주의
안창진,2022-07-03,26,3,16,5,5 주회,BS,주의
안창진,2024-04-12,14,1,15,1,5 주회,1코너,경고
안창진,2025-12-27,51,2,2,1,4 주회,HS,주의
안효운,2022-08-12,32,1,9,2,5 주회,1코너,주의
안효운,2024-08-09,31,1,9,5,5 주회,결승선전,주의
안효운,2025-09-06,36,2,2,5,4 주회,4코너,경고
양기원,2022-07-22,29,1,14,6,5 주회,BS,주의
양승용,2022-04-24,16,3,4,3,5 주회,3코너,주의
양승용,2024-06-16,23,3,1,3,5 주회,결승선전,경고
양승원,2024-01-21,3,3,16,3,4 주회,HS,주의
양진우,2022-08-28,34,3,10,2,5 주회,1코너,주의
양희진,2022-09-23,38,1,7,2,5 주회,1코너,주의
양희천,2022-10-14,41,1,12,5,5 주회,3코너,경고
양희천,2022-12-17,50,2,8,1,5 주회,1코너,주의
양희천,2023-12-30,51,2,5,6,3 주회,HS,주의
양희천,2026-01-25,4,3,14,3,5 주회,BS,주의
엄재천,2023-09-22,38,1,4,5,5 주회,BS,주의
엄재천,2024-11-09,44,2,5,1,5 주회,BS,주의
엄재천,2025-05-10,19,2,3,3,5 주회,결승선전,경고
엄재천,2026-03-06,10,1,4,5,5 주회,BS,주의
엄정일,2022-06-17,24,1,16,3,5 주회,BS,주의
엄정일,2022-11-25,47,1,13,5,5 주회,2코너,주의
엄지용,2023-09-08,36,1,9,5,5 주회,BS,주의
엄지용,2024-03-22,11,1,3,3,5 주회,1코너,주의
엄지용,2025-01-24,4,1,10,7,5 주회,BS,주의
여동환,2023-01-14,2,2,10,1,5 주회,BS,주의
여동환,2023-11-12,44,3,5,2,5 주회,BS,주의
여동환,2024-08-02,30,1,8,3,5 주회,BS,주의
여동환,2024-10-26,42,2,11,7,5 주회,BS,주의
여동환,2024-11-29,47,1,7,1,5 주회,BS,주의
오기호,2022-01-07,1,1,11,2,5 주회,2코너,주의
오기호,2023-01-06,1,1,13,3,5 주회,BS,주의
오기호,2023-01-20,3,1,14,2,5 주회,BS,주의
오기호,2023-04-09,14,3,15,4,5 주회,BS,주의
오기호,2023-05-01,17,4,14,7,5 주회,BS,주의
오기호,2024-01-20,3,2,10,1,5 주회,1코너,주의
오기호,2025-07-13,28,3,5,6,3 주회,4코너,주의
오대환,2023-01-08,1,3,9,1,5 주회,BS,주의
오대환,2023-06-10,23,2,7,2,5 주회,BS,주의
오대환,2023-06-11,23,3,10,1,5 주회,BS,주의
오대환,2025-02-14,7,1,11,1,5 주회,BS,주의
오대환,2026-02-08,6,3,6,1,5 주회,BS,주의
오은섭,2026-01-23,4,1,7,3,3 주회,BS,주의
오은섭,2026-01-30,5,1,11,3,3 주회,3코너,주의
오은섭,2026-02-15,7,3,7,2,5 주회,1코너,주의
오정석,2026-01-18,3,3,6,1,3 주회,4코너,주의
오진우,2022-02-18,7,1,6,7,5 주회,BS,주의
오진우,2022-09-04,35,3,7,5,5 주회,BS,주의
오진우,2023-04-21,16,1,9,5,5 주회,BS,주의
오진우,2024-03-29,12,1,6,6,5 주회,BS,주의
오진우,2025-04-13,15,3,8,1,5 주회,BS,주의
오태걸,2023-06-02,22,1,6,1,5 주회,BS,주의
오태걸,2023-10-29,42,3,5,3,5 주회,BS,주의
오태걸,2026-03-20,12,1,5,2,5 주회,1코너,경고
왕지현,2022-01-07,1,1,15,1,5 주회,BS,주의
왕지현,2022-07-17,28,3,15,1,5 주회,1코너,경고
왕지현,2026-03-15,11,3,13,1,5 주회,1코너,주의
용석길,2022-03-11,10,1,1,5,5 주회,2코너,주의
용석길,2025-06-08,23,3,1,5,5 주회,BS,주의
용석길,2026-02-20,8,1,1,7,5 주회,BS,주의
우성식,2023-04-09,14,3,8,2,5 주회,4코너,주의
우성식,2024-08-02,30,1,7,1,3 주회,4코너,주의
우성식,2025-01-05,1,3,10,2,3 주회,2코너,주의
우종길,2023-02-04,5,2,3,2,5 주회,결승선전,주의
원신재,2022-02-13,6,3,12,1,5 주회,2코너,주의
원신재,2023-05-21,20,3,15,1,5 주회,1코너,주의
원신재,2023-12-08,48,1,15,6,5 주회,BS,주의
원준오,2025-12-21,50,3,15,1,5 주회,2코너,경고
유경원,2023-05-20,20,2,13,2,5 주회,3코너,주의
유상용,2022-10-08,40,2,2,1,5 주회,1코너,주의
유선우,2022-08-13,32,2,10,1,5 주회,3코너,주의
유성철,2022-04-24,16,3,6,1,5 주회,BS,주의
유성철,2025-04-04,14,1,13,3,5 주회,결승선전,경고
유승우,2022-06-11,23,2,2,1,5 주회,BS,주의
유연종,2023-10-28,42,2,4,3,5 주회,1코너,주의
유일선,2022-06-25,25,2,5,4,5 주회,3코너,주의
유일선,2022-10-16,41,3,2,2,5 주회,1코너,주의
유일선,2024-09-13,36,1,11,1,5 주회,BS,주의
유지훈,2022-08-05,31,1,13,2,5 주회,3코너,주의
유지훈,2023-08-26,34,2,14,3,5 주회,결승선전,주의
유지훈,2024-05-31,21,1,7,2,4 주회,BS,주의
유진용,2022-03-06,9,3,4,7,5 주회,BS,주의
유진용,2024-04-07,13,3,2,2,5 주회,BS,주의
유진용,2024-06-15,23,2,1,3,5 주회,BS,주의
유진용,2024-07-27,29,2,1,5,5 주회,BS,주의
유진용,2024-11-29,47,1,1,5,5 주회,BS,주의
유태복,2023-06-25,25,3,14,4,5 주회,BS,주의
유태복,2023-08-12,32,2,12,7,5 주회,BS,주의
유태복,2024-05-11,18,2,16,2,5 주회,BS,주의
윤건호,2025-08-30,35,2,4,2,5 주회,BS,주의
윤건호,2025-10-10,40,1,2,5,5 주회,BS,주의
윤민우,2023-03-24,12,1,14,3,5 주회,1코너,주의
윤민우,2023-05-01,17,4,16,4,3 주회,4코너,주의
윤민우,2024-01-28,4,3,15,5,3 주회,4코너,주의
윤승규,2023-11-18,45,2,8,5,5 주회,3코너,주의
윤여범,2022-11-06,44,3,7,1,5 주회,1코너,주의
윤영수,2022-03-11,10,1,2,2,5 주회,3코너,주의
윤우신,2025-02-01,5,2,10,4,5 주회,BS,주의
윤진규,2022-01-09,1,3,8,2,4 주회,HS,주의
윤진규,2022-08-14,32,3,15,6,5 주회,1코너,주의
윤진규,2023-07-14,28,1,7,1,5 주회,4코너,주의
윤진규,2023-07-15,28,2,7,4,1 주회,HS,경고
윤진규,2023-11-18,45,2,6,1,4 주회,HS,경고
윤진규,2024-09-15,36,3,10,4,3 주회,HS,주의
윤진철,2023-08-13,32,3,6,2,5 주회,결승선전,주의
윤진철,2025-04-05,14,2,3,4,4 주회,4코너,주의
윤창호,2022-01-30,4,3,9,7,5 주회,BS,주의
윤창호,2022-04-16,15,2,7,6,5 주회,3코너,주의
윤창호,2023-03-18,11,2,3,2,5 주회,1코너,주의
윤창호,2024-06-21,24,1,11,5,5 주회,BS,주의
윤창호,2025-03-07,10,1,6,1,5 주회,BS,주의
윤창호,2025-12-19,50,1,5,2,5 주회,BS,주의
윤현구,2022-04-10,14,3,12,5,5 주회,3코너,주의
윤현구,2022-05-14,19,2,13,2,5 주회,BS,주의
윤현구,2023-06-02,22,1,16,5,5 주회,BS,주의
윤현구,2023-10-13,40,1,15,6,5 주회,BS,주의
윤현구,2024-03-08,9,1,10,4,5 주회,3코너,주의
윤현구,2024-06-07,22,1,6,1,5 주회,1코너,주의
윤현구,2024-10-03,39,1,15,2,5 주회,BS,주의
윤현구,2025-10-12,40,3,16,2,5 주회,BS,주의
윤현준,2022-08-05,31,1,10,3,5 주회,1코너,주의
윤현준,2023-05-05,18,1,14,5,5 주회,BS,주의
윤현준,2023-05-26,21,1,16,4,5 주회,BS,주의
윤현준,2024-08-18,32,3,15,7,3 주회,HS,주의
윤현준,2025-01-24,4,1,13,6,5 주회,BS,주의
이 효,2022-04-16,15,2,9,3,5 주회,3코너,주의
이 효,2023-02-18,7,2,8,2,5 주회,2코너,주의
이 효,2024-09-06,35,1,10,4,3 주회,HS,주의
이경태,2022-04-08,14,1,3,7,5 주회,BS,주의
이광민,2024-02-04,5,3,5,2,5 주회,결승선전,주의
이광민,2025-07-06,27,3,10,2,5 주회,결승선전,경고
이규백,2022-06-10,23,1,8,1,5 주회,BS,주의
이규백,2026-02-06,6,1,6,2,4 주회,HS,주의
이규봉,2024-07-20,28,2,6,6,5 주회,BS,주의
이규봉,2025-07-11,28,1,12,2,5 주회,결승선전,경고
이근우,2024-07-13,27,2,4,2,5 주회,결승선전,주의
이근우,2025-02-07,6,1,3,7,5 주회,BS,주의
이근우,2025-04-19,16,2,5,1,5 주회,BS,주의
이근우,2025-08-31,35,3,4,7,5 주회,BS,주의
이기주,2022-01-21,3,1,10,1,5 주회,BS,경고
이기주,2022-07-02,26,2,13,1,5 주회,BS,주의
이기주,2024-05-12,18,3,6,2,5 주회,BS,주의
이기주,2026-01-11,2,3,11,4,5 주회,BS,주의
이기한,2022-12-10,49,2,11,1,5 주회,BS,주의
이기한,2023-07-16,28,3,2,7,5 주회,3코너,경고
이기한,2024-10-03,39,1,12,2,5 주회,BS,주의
이기한,2024-10-27,42,3,10,1,5 주회,BS,주의
이기한,2024-11-24,46,3,9,5,5 주회,BS,주의
이기호,2022-01-15,2,2,14,4,5 주회,BS,주의
이기호,2022-10-09,40,3,15,7,5 주회,3코너,주의
이기호,2025-12-12,49,1,9,5,5 주회,BS,주의
이동기,2022-09-24,38,2,5,1,5 주회,BS,주의
이동기,2025-01-12,2,3,4,3,5 주회,BS,주의
이동기,2025-09-14,37,3,1,1,5 주회,BS,주의
이록희,2023-12-16,49,2,9,1,4 주회,HS,주의
이록희,2025-08-17,33,3,9,1,3 주회,2코너,주의
이명현,2023-04-16,15,3,12,1,5 주회,2코너,주의
이명현,2024-05-11,18,2,14,7,5 주회,BS,주의
이명현,2025-03-07,10,1,13,7,5 주회,BS,주의
이명현,2025-04-25,17,1,15,2,5 주회,BS,주의
이명현,2025-05-09,19,1,13,1,5 주회,결승선전,경고
이범석,2024-09-01,34,3,1,3,5 주회,3코너,주의
이상경,2023-02-17,7,1,7,2,5 주회,3코너,주의
이상엽,2026-01-11,2,3,4,1,4 주회,HS,경고
이상준,2023-06-11,23,3,1,6,5 주회,BS,주의
이상준,2024-05-04,17,2,4,7,5 주회,BS,주의
이상준,2024-09-06,35,1,4,1,5 주회,BS,주의
이상현,2023-01-14,2,2,3,7,5 주회,2코너,주의
이상현,2024-01-21,3,3,7,7,5 주회,BS,주의
이서혁,2022-01-14,2,1,7,2,5 주회,BS,주의
이서혁,2024-11-17,45,3,11,6,5 주회,BS,주의
이성광,2022-05-06,18,1,10,5,4 주회,HS,주의
이성록,2024-12-23,50,4,9,3,5 주회,결승선전,주의
이성록,2025-09-28,39,3,9,3,4 주회,HS,경고
이성민,2022-04-24,16,3,13,7,5 주회,1코너,주의
이성민,2023-11-05,43,3,13,1,5 주회,BS,주의
이성민,2024-03-16,10,2,9,3,5 주회,1코너,주의
이성민,2025-12-27,51,2,4,3,5 주회,BS,주의
이성용,2022-12-11,49,3,14,2,5 주회,3코너,주의
이성용,2025-09-20,38,2,12,2,3 주회,4코너,주의
이성용,2026-03-07,10,2,16,1,5 주회,결승선전,주의
이성재,2025-12-13,49,2,10,2,4 주회,HS,주의
이수민,2023-05-19,20,1,5,3,5 주회,BS,주의
이수민,2023-11-24,46,1,1,1,5 주회,BS,주의
이수민,2024-05-17,19,1,2,1,5 주회,BS,주의
이수민,2025-04-27,17,3,4,1,5 주회,BS,주의
이수원,2024-01-19,3,1,7,2,5 주회,BS,주의
이수원,2025-12-05,48,1,11,1,4 주회,4코너,주의
이승주,2022-06-17,24,1,2,2,5 주회,3코너,주의
이승철,2022-04-16,15,2,15,7,5 주회,3코너,주의
이승철,2022-07-16,28,2,15,2,4 주회,2코너,주의
이승철,2022-12-09,49,1,15,1,5 주회,3코너,주의
이승철,2025-02-15,7,2,9,2,5 주회,BS,주의
이승현,2022-04-09,14,2,10,1,5 주회,3코너,주의
이승현,2022-05-21,20,2,10,1,5 주회,BS,주의
이승현,2024-11-08,44,1,6,6,5 주회,BS,주의
이승현,2025-01-26,4,3,9,3,5 주회,BS,주의
이승현,2025-08-29,35,1,5,3,3 주회,4코너,주의
이용희,2022-11-27,47,3,11,3,5 주회,BS,주의
이용희,2023-03-03,9,1,6,1,5 주회,2코너,주의
이용희,2025-08-22,34,1,10,1,5 주회,2코너,경고
이용희,2026-01-25,4,3,6,1,4 주회,HS,경고
이우정,2022-02-18,7,1,5,7,5 주회,4코너,주의
이우정,2024-06-01,21,2,5,2,5 주회,1코너,주의
이우정,2025-02-09,6,3,11,2,5 주회,BS,주의
이우정,2026-03-08,10,3,5,5,5 주회,BS,주의
이유진,2023-04-23,16,3,10,1,4 주회,HS,주의
이유진,2023-11-25,46,2,9,1,5 주회,BS,주의
이유진,2024-08-04,30,3,6,5,5 주회,BS,주의
이유진,2024-11-22,46,1,11,5,5 주회,3코너,주의
이으뜸,2023-01-28,4,2,15,1,4 주회,HS,주의
이으뜸,2023-08-27,34,3,13,2,5 주회,BS,주의
이으뜸,2024-11-15,45,1,13,4,3 주회,HS,주의
이은우,2023-12-08,48,1,3,5,5 주회,BS,주의
이은우,2024-10-06,39,4,1,7,4 주회,HS,주의
이일수,2023-06-17,24,2,3,1,5 주회,BS,주의
이일수,2023-07-22,29,2,3,3,5 주회,BS,주의
이일수,2023-08-12,32,2,2,1,5 주회,BS,주의
이일수,2025-04-26,17,2,5,3,5 주회,BS,주의
이재림,2025-12-28,51,3,13,1,3 주회,4코너,주의
이재옥,2024-01-26,4,1,4,1,5 주회,결승선전,경고
이재우,2022-07-24,29,3,9,1,5 주회,2코너,주의
이재우,2024-02-04,5,3,6,4,5 주회,BS,주의
이재우,2024-03-22,11,1,6,2,5 주회,BS,주의
이재일,2023-08-04,31,1,6,1,3 주회,HS,주의
이정민,2023-04-07,14,1,1,3,4 주회,HS,주의
이정민,2024-10-26,42,2,8,3,5 주회,결승선전,경고
이정민,2025-02-07,6,1,1,4,5 주회,2코너,주의
이정석,2025-01-25,4,2,16,6,5 주회,결승선전,경고
이정석,2025-02-01,5,2,16,2,5 주회,BS,주의
이정석,2026-03-06,10,1,16,2,5 주회,결승선전,경고
이정운,2024-12-08,48,3,4,3,5 주회,BS,주의
이정운,2025-03-07,10,1,4,6,5 주회,BS,주의
이종필,2023-02-19,7,3,3,2,5 주회,BS,주의
이종필,2026-02-01,5,3,3,1,5 주회,BS,주의
이주하,2022-09-17,37,2,1,2,5 주회,BS,주의
이주하,2022-09-18,37,3,5,1,5 주회,1코너,주의
이주하,2024-07-14,27,3,5,7,5 주회,결승선전,경고
이주현,2025-08-23,34,2,3,1,5 주회,BS,주의
이지훈,2022-04-02,13,2,1,6,5 주회,1코너,주의
이진국,2022-11-06,44,3,11,2,4 주회,BS,주의
이진웅,2022-03-13,10,3,8,4,5 주회,BS,경고
이진웅,2025-06-20,25,1,16,4,5 주회,BS,주의
이진원,2022-11-12,45,2,6,4,5 주회,BS,주의
이진원,2024-06-21,24,1,9,3,4 주회,HS,주의
이진원,2025-04-05,14,2,12,4,5 주회,BS,경고
이차현,2025-06-15,24,3,6,2,4 주회,HS,경고
이차현,2025-12-20,50,2,13,3,5 주회,BS,주의
이차현,2026-02-20,8,1,6,3,4 주회,4코너,주의
이찬우,2025-07-20,29,3,7,1,5 주회,1코너,주의
이찬우,2026-01-24,4,2,7,1,4 주회,HS,주의
이창용,2023-07-23,29,3,9,3,5 주회,BS,주의
이창용,2025-05-31,22,2,8,1,5 주회,결승선전,주의
이창용,2026-01-17,3,2,9,5,5 주회,결승선전,주의
이창재,2022-05-21,20,2,3,7,5 주회,BS,주의
이창재,2022-10-07,40,1,3,2,5 주회,2코너,주의
이태운,2025-11-15,45,2,16,1,3 주회,4코너,주의
이태호,2023-10-29,42,3,12,4,3 주회,HS,주의
이현구,2025-02-14,7,1,13,3,5 주회,2코너,주의
이현구,2025-12-07,48,3,13,3,5 주회,3코너,주의
이현재,2022-06-03,22,1,1,2,5 주회,2코너,주의
이현재,2022-09-17,37,2,4,5,5 주회,BS,주의
이현재,2022-11-05,44,2,3,3,5 주회,BS,주의
이현재,2023-02-10,6,1,4,3,5 주회,결승선전,경고
이현재,2023-04-22,16,2,1,2,5 주회,BS,주의
이현재,2023-07-07,27,1,4,2,5 주회,BS,주의
이현재,2024-05-18,19,2,3,2,5 주회,BS,주의
이현재,2024-05-19,19,3,1,4,5 주회,BS,주의
이현재,2024-11-09,44,2,2,2,5 주회,BS,주의
이현재,2025-05-05,18,4,2,1,5 주회,결승선전,경고
이형민,2022-04-23,16,2,7,5,5 주회,2코너,주의
이형민,2025-09-13,37,2,11,1,5 주회,BS,주의
이형재,2022-04-29,17,1,2,4,5 주회,결승선전,경고
이호환,2022-01-28,4,1,2,6,5 주회,결승선전,경고
이호환,2022-11-06,44,3,3,3,5 주회,2코너,주의
이호환,2023-04-23,16,3,1,2,5 주회,결승선전,주의
이홍주,2022-06-26,25,3,11,3,5 주회,3코너,주의
이홍주,2023-12-22,50,1,10,1,5 주회,BS,주의
이홍주,2025-03-03,9,4,4,1,5 주회,BS,주의
이흥주,2022-03-06,9,3,8,5,5 주회,HS,경고
이흥주,2025-06-15,24,3,11,2,5 주회,BS,주의
이흥주,2025-11-15,45,2,2,2,5 주회,2코너,경고
이흥주,2025-11-22,46,2,1,1,5 주회,BS,주의
이희석,2022-05-29,21,3,3,1,5 주회,3코너,주의
이희석,2023-01-06,1,1,3,4,1 주회,HS,경고
이희석,2023-10-22,41,3,2,3,5 주회,BS,주의
인치환,2023-07-02,26,3,15,1,5 주회,3코너,주의
인치환,2025-12-28,51,3,4,2,5 주회,2코너,주의
임 섭,2022-07-17,28,3,5,3,5 주회,BS,주의
임 섭,2023-12-09,48,2,3,4,5 주회,1코너,경고
임 섭,2024-02-24,7,2,4,6,5 주회,1코너,주의
임 섭,2024-04-26,16,1,4,1,5 주회,BS,주의
임 섭,2024-09-14,36,2,7,2,5 주회,결승선전,주의
임 섭,2024-10-03,39,1,6,3,5 주회,BS,주의
임 섭,2024-10-06,39,4,9,3,5 주회,BS,주의
임 섭,2024-11-17,45,3,10,2,5 주회,BS,주의
임 섭,2025-01-26,4,3,5,6,5 주회,결승선전,주의
임경수,2023-10-21,41,2,8,1,5 주회,3코너,주의
임권빈,2022-09-04,35,3,1,6,5 주회,3코너,주의
임권빈,2025-04-11,15,1,3,3,5 주회,BS,주의
임규태,2022-10-02,39,3,1,2,5 주회,1코너,주의
임근태,2024-06-09,22,3,4,2,5 주회,BS,주의
임범석,2022-03-19,11,2,2,1,5 주회,BS,경고
임병창,2022-07-29,30,1,5,1,5 주회,3코너,주의
임병창,2023-10-27,42,1,3,3,5 주회,BS,주의
임병창,2024-03-15,10,1,1,3,5 주회,결승선전,경고
임병창,2026-02-06,6,1,2,1,5 주회,결승선전,주의
임세윤,2023-02-03,5,1,7,2,5 주회,BS,주의
임세윤,2023-03-12,10,3,7,4,5 주회,결승선전,경고
임영완,2023-06-03,22,2,8,1,5 주회,BS,주의
임영완,2024-01-26,4,1,9,1,5 주회,BS,주의
임영완,2024-03-31,12,3,10,5,5 주회,BS,주의
임영완,2025-05-03,18,2,7,7,5 주회,BS,주의
임요한,2022-11-26,47,2,9,1,5 주회,3코너,주의
임요한,2023-04-29,17,2,5,1,5 주회,1코너,경고
임요한,2024-05-25,20,2,4,1,5 주회,BS,경고
임요한,2026-03-20,12,1,12,2,5 주회,BS,주의
임유섭,2024-03-31,12,3,14,5,5 주회,BS,주의
임유섭,2025-09-07,36,3,15,1,4 주회,HS,주의
임유섭,2025-09-28,39,3,14,2,5 주회,BS,경고
임지춘,2022-07-15,28,1,4,2,5 주회,2코너,주의
임지춘,2023-03-18,11,2,2,4,5 주회,1코너,주의
임채빈,2024-03-31,12,3,16,2,5 주회,BS,주의
임채빈,2024-10-11,40,1,13,7,3 주회,4코너,주의
임채빈,2026-01-10,2,2,14,1,3 주회,4코너,주의
임치형,2022-08-19,33,1,14,7,5 주회,3코너,주의
임형윤,2024-01-27,4,2,5,6,5 주회,BS,주의
임형윤,2024-09-22,37,3,1,7,5 주회,BS,주의
임환직,2025-09-06,36,2,12,7,5 주회,BS,주의
장경동,2022-04-24,16,3,9,2,5 주회,BS,주의
장경동,2023-11-24,46,1,10,2,5 주회,BS,주의
장우준,2023-09-16,37,2,13,4,3 주회,4코너,주의
장인석,2022-06-17,24,1,8,1,5 주회,2코너,주의
장지웅,2022-12-31,52,2,8,6,5 주회,1코너,주의
장지웅,2023-09-15,37,1,11,1,5 주회,BS,주의
전경호,2022-11-19,46,2,16,2,5 주회,3코너,주의
전경호,2022-12-03,48,2,16,2,5 주회,3코너,주의
전경호,2022-12-24,51,2,16,7,5 주회,BS,주의
전경호,2025-12-07,48,3,6,1,4 주회,3코너,주의
전영규,2022-08-28,34,3,14,1,5 주회,1코너,주의
전영규,2024-11-23,46,2,15,7,5 주회,BS,주의
전영조,2022-01-09,1,3,2,4,5 주회,2코너,주의
전영조,2022-02-19,7,2,3,1,5 주회,2코너,주의
전영조,2023-06-09,23,1,7,5,5 주회,BS,주의
전영조,2024-07-07,26,3,6,1,5 주회,BS,주의
전영조,2025-12-14,49,3,5,7,5 주회,BS,주의
전원규,2024-12-27,51,1,4,1,5 주회,4코너,경고
전장윤,2025-08-16,33,2,10,1,5 주회,결승선전,경고
전종헌,2024-07-27,29,2,8,3,5 주회,결승선전,경고
전준영,2025-03-30,13,3,8,2,5 주회,BS,주의
정 관,2023-06-09,23,1,4,2,5 주회,2코너,주의
정 관,2024-08-02,30,1,9,3,5 주회,BS,주의
정 관,2024-09-21,37,2,12,6,5 주회,BS,주의
정 승,2022-01-28,4,1,6,2,5 주회,BS,주의
정 승,2022-05-28,21,2,8,2,5 주회,BS,주의
정 승,2022-06-11,23,2,10,3,5 주회,BS,주의
정 승,2024-03-17,10,3,9,5,5 주회,BS,주의
정덕이,2022-01-08,1,2,5,1,5 주회,BS,주의
정덕이,2022-12-02,48,1,3,3,5 주회,BS,주의
정덕이,2023-12-22,50,1,11,1,5 주회,BS,주의
정덕이,2024-04-27,16,2,4,3,5 주회,BS,주의
정덕이,2024-11-15,45,1,8,1,5 주회,결승선전,경고
정민석,2026-03-14,11,2,8,5,3 주회,4코너,주의
정상민,2023-10-08,39,3,10,1,4 주회,HS,주의
정성기,2022-03-05,9,2,5,1,5 주회,BS,주의
정성기,2022-06-11,23,2,5,6,5 주회,BS,주의
정성기,2023-01-20,3,1,3,1,5 주회,BS,주의
정성기,2023-05-01,17,4,1,1,5 주회,BS,주의
정성기,2023-08-25,34,1,1,5,5 주회,HS,주의
정성기,2023-11-04,43,2,4,2,5 주회,BS,주의
정성오,2024-06-07,22,1,2,7,5 주회,BS,주의
정성훈,2022-07-16,28,2,10,3,5 주회,결승선전,경고
정성훈,2022-09-04,35,3,9,1,5 주회,BS,주의
정연교,2022-01-09,1,3,6,1,5 주회,BS,주의
정연교,2024-10-06,39,4,13,3,5 주회,BS,주의
정연교,2025-04-11,15,1,10,2,3 주회,4코너,주의
정연교,2025-08-03,31,3,7,6,5 주회,BS,주의
정윤건,2022-01-08,1,2,15,5,5 주회,BS,주의
정윤건,2022-01-21,3,1,12,6,5 주회,3코너,주의
정윤건,2023-02-03,5,1,11,1,5 주회,1코너,주의
정윤재,2023-01-14,2,2,14,5,5 주회,BS,주의
정윤재,2025-10-11,40,2,7,3,5 주회,2코너,주의
정재성,2023-11-24,46,1,3,4,5 주회,1코너,주의
정재성,2025-11-15,45,2,9,1,5 주회,결승선전,경고
정재완,2022-03-13,10,3,11,5,4 주회,3코너,주의
정재완,2023-06-11,23,3,12,3,5 주회,BS,주의
정재완,2023-08-18,33,1,14,1,5 주회,BS,주의
정재완,2023-12-17,49,3,13,1,5 주회,1코너,주의
정재완,2025-02-09,6,3,13,1,5 주회,2코너,경고
정재원,2022-06-10,23,1,14,1,5 주회,2코너,주의
정재원,2022-11-19,46,2,14,1,5 주회,3코너,주의
정재원,2023-04-02,13,3,14,1,5 주회,1코너,주의
정재원,2024-11-17,45,3,16,1,5 주회,결승선전,주의
정정교,2022-01-21,3,1,15,2,5 주회,1코너,실격
정정교,2023-10-14,40,2,12,5,5 주회,BS,경고
정지민,2025-05-04,18,3,13,4,5 주회,BS,주의
정진욱,2025-02-15,7,2,3,1,5 주회,1코너,주의
정찬건,2023-10-21,41,2,2,1,4 주회,HS,주의
정찬건,2024-04-20,15,2,3,5,5 주회,BS,주의
정찬건,2025-04-13,15,3,2,2,5 주회,1코너,주의
정찬건,2025-11-22,46,2,4,1,5 주회,결승선전,주의
정춘현,2022-08-19,33,1,5,2,5 주회,2코너,주의
